-1.235962,-1.818197;-0.379222,-0.195295;0.581792
0.717961,-1.765731;0.068307,-0.271606;0.442345
0.535040,-1.309241;-0.090058,0.090371;0.075256
-0.014706,-0.593536;0.132884,0.600753;0.887026
1.310998,2.947052;0.212355,0.208563;0.553019
-0.685783,-0.676434;0.323690,0.002890;0.343538
0.039093,0.147227;-0.116370,-0.259307;0.672733
-1.325511,6.643904;-0.123689,0.747249;0.041683
0.050824,-0.410996;0.886589,-0.550716;0.991618
0.000585,-0.588045;-0.289121,0.232110;0.268299
0.017240,-0.398127;-0.044309,0.188427;0.856752
0.058688,-0.782009;0.066250,-0.302193;0.164524
-0.439404,-0.373368;-0.052951,-0.107808;0.749939
-0.114178,-0.326483;0.380573,0.101671;0.541212
0.573288,-0.150800;0.009231,0.397932;0.771413
0.215499,-0.229375;0.404362,-0.359559;0.862130
-12.855226,2.258426;-1.552058,0.272890;0.003955
-1.122623,-0.425628;0.106664,-0.063658;0.075602
-0.174967,0.102423;0.160514,-0.557218;0.402206
0.121462,-0.389373;-0.208715,-0.733507;0.486433
1.086745,-1.614485;0.250876,-0.321220;0.191810
-0.582673,-0.538587;-0.049327,0.264612;0.374060
0.281416,-0.151695;-0.416552,0.073945;0.875986
0.000274,-0.423058;-0.157470,-0.530097;0.842375
-0.510970,-0.391342;0.578984,0.291695;0.112853
-1.627540,-2.319419;-0.324515,-0.392065;0.230992
2.650832,4.327191;0.275260,0.459876;0.094233
-0.193851,-0.007766;-0.584331,0.208655;0.544767
-0.172371,3.686521;0.070279,0.336351;0.647947
0.263574,-0.461964;-0.350193,0.098925;0.137850
0.071526,-0.486678;0.050850,0.533607;0.077654
0.072657,-0.554322;0.493071,0.110520;0.809540
0.051702,-0.315817;-0.249142,-0.057880;0.439067
-0.002823,-0.732038;-0.162931,0.509879;0.779328
0.546184,-0.561067;-0.149950,0.179665;0.986606
0.049745,-0.587675;-0.144883,0.581989;0.619765
-0.056547,-0.457257;0.061705,-0.201454;0.920400
0.107398,-0.461144;-0.205212,0.495455;0.977943
-0.548929,-1.444649;-0.136514,-0.153108;0.739839
0.079251,-0.571314;-0.229068,-0.415024;0.360021
0.281898,-0.758939;-0.012809,-0.216533;0.603862
-1.306702,-1.166765;-0.213845,0.023505;0.504623
0.439056,-0.139704;-0.286363,-0.035233;0.379488
-0.558081,2.345967;0.065631,0.116723;0.659893
0.033231,-0.782275;0.364975,0.141634;0.765607
0.434109,-0.655519;0.353472,-0.049854;0.326891
-0.056246,-0.334737;-0.208533,-0.620614;0.747771
-0.100481,-0.538083;0.940296,-0.189476;0.217017
-0.231105,-0.420907;0.159323,0.483170;0.066757
-0.081168,0.103938;0.155145,-0.221085;0.247154
-0.205165,-0.278311;-0.159014,-0.540547;0.408007
-0.013779,-0.644090;-0.128520,0.508339;0.810837
-0.382344,-0.342698;0.012067,-0.279677;0.547549
-0.616477,0.150669;0.199771,-0.195423;0.665531
1.986751,4.787263;0.193684,0.520686;0.978483
0.772745,-2.231057;0.185323,-0.231715;0.070936
0.089008,-0.452115;0.314042,-0.529989;0.133810
0.392457,-0.184648;0.047051,-0.217101;0.223486
3.012864,5.153685;0.330098,0.572273;0.506137
-0.100675,-0.862241;-0.161863,0.632863;0.957336
0.053364,-0.442099;-0.175615,0.689631;0.330687
-0.195842,-0.375678;-0.404466,-0.083384;0.426159
0.084674,-0.323604;-0.242473,-0.199706;0.693390
8.303350,-22.634379;1.004307,-2.737637;0.008545
-1.786694,0.705126;-0.094711,-0.174824;0.428557
-0.072976,-0.399922;0.010982,0.011020;0.919209
-0.308667,0.518422;-0.120085,0.180619;0.443134
0.137291,-0.063651;0.236865,-0.211629;0.908224
-7.600693,-9.075613;-0.875028,-1.024099;0.010958
-0.130943,-0.347058;-0.985658,0.131593;0.140478
0.102802,-0.366246;0.902331,-0.092263;0.623494
-9.309110,5.545123;-1.104872,0.648360;0.028568
0.075966,-0.618749;0.105123,0.492817;0.807882
-0.482312,-0.730910;0.212782,0.502809;0.637077
0.032217,-0.146403;-0.023567,-0.487453;0.429405
0.442442,-0.367768;0.045490,0.537707;0.689094
0.005633,-2.076418;-0.042072,-0.161210;0.493476
0.129203,-0.428455;-0.110145,0.280999;0.247858
-0.640125,-0.381246;0.125633,-0.286410;0.155999
-0.534198,-0.184268;0.284557,-0.468861;0.240396
-0.866178,3.965053;-0.044986,0.366174;0.387264
0.011877,-0.602925;-0.044197,-0.251509;0.977773
-0.281304,-0.411431;0.391945,-0.750746;0.724235
-0.283413,-0.338552;0.450186,-0.872118;0.736248
0.409230,-1.380774;-0.054323,-0.014690;0.671390
-0.510022,-0.496455;0.517533,-0.131950;0.163150
-0.238282,-0.382902;0.476010,-0.483184;0.206584
-0.136902,-0.035295;-0.391502,0.032207;0.398494
0.082054,0.167939;-0.016822,-0.140189;0.609559
-0.886149,-0.888503;-0.029464,-0.089287;0.301907
4.820690,3.852246;0.542853,0.429382;0.847373
-0.117555,-0.595167;0.132467,-0.181948;0.610254
-0.590053,-0.428957;-0.152339,-0.400728;0.276543
-0.546675,0.338206;0.276985,-0.074936;0.948187
-0.009170,-0.648953;-0.517968,-0.658251;0.384754
-0.216715,-1.650808;-0.073974,-0.020810;0.678849
0.422924,-0.003585;0.046813,0.425012;0.836352
-1.631069,1.748559;-0.304610,0.590499;0.098261
-5.523005,7.661843;-0.765088,1.057767;0.014200
-0.087752,-0.507781;-0.339195,0.499671;0.586208
-0.011247,-0.438236;1.103629,-0.213395;0.435473
0.068202,-0.419534;0.428216,0.628700;0.280095
-0.155898,-0.374436;0.041833,0.045600;0.826225
0.012997,-0.656802;0.161424,0.256207;0.957019
-0.049321,-0.319765;-0.539352,-0.295228;0.280810
-0.735723,-1.263391;-0.371767,-0.033476;0.838007
-0.321895,-0.369080;-0.062363,-0.397394;0.322492
0.289019,-0.639600;0.325057,-0.303473;0.158326
-0.125432,-0.293136;-0.345486,0.074685;0.861182
-0.000570,-0.425123;-0.103933,0.147477;0.350921
-0.056475,-0.426156;-0.359574,0.983687;0.668594
-0.216201,-0.578426;-0.470682,0.372281;0.360866
-0.497396,-0.119204;0.002462,-0.380607;0.572939
-0.380974,-0.564702;-0.208685,0.431014;0.160438
-0.083822,-0.322134;-0.785452,-0.649643;0.744113
-0.412323,0.104895;-0.217853,-0.079972;0.844392
1.863947,4.445285;0.178050,0.434643;0.043857
-0.272825,-0.743817;-0.533277,0.306812;0.092973
0.357531,-2.060466;0.123916,-0.190879;0.189432
0.804364,-3.177890;0.166977,-0.560244;0.305565
0.412826,-0.035799;0.294406,0.021679;0.303120
0.031400,-0.473666;0.660756,-0.378106;0.975952
0.394364,-0.514653;0.273719,0.094501;0.873628
-0.519522,-0.124210;-0.135608,0.185727;0.574454
0.019418,-0.473620;-0.716675,0.998568;0.095735
-0.265649,-0.267940;0.215072,0.000720;0.698413
-0.158799,-0.516274;-0.431724,0.239831;0.163193
0.339496,-1.483971;-0.096827,-0.059562;0.244608
0.334119,-0.058705;0.588130,0.142684;0.257091
0.474472,-0.855099;-0.081837,0.090531;0.381440
0.023723,-0.367581;-0.705643,0.510371;0.501906
-0.027973,-0.508948;-0.240795,0.014919;0.983274
-0.124472,-0.563285;0.330978,-0.061874;0.793762
-1.388542,0.505267;-0.073004,0.165676;0.680557
2.085288,-0.848392;0.446104,0.049449;0.577478
-0.321891,-0.448669;-0.819447,-0.114373;0.236034
0.019887,-0.392353;-0.451892,0.302007;0.088984
0.772057,-1.571884;0.080079,-0.196195;0.948062
-0.066317,-0.479800;0.096929,0.039704;0.823238
0.198394,-0.562478;0.033241,-0.621382;0.269578
0.497372,-0.174542;-0.211232,0.074361;0.255832
2.754814,4.429774;0.289287,0.468430;0.927297
0.098377,-0.323360;-0.079485,0.127016;0.225645
0.044629,-0.454262;-0.555227,0.191720;0.993104
-0.125393,-0.328345;-0.111314,-0.186457;0.155484
-0.086997,-0.441261;-0.298650,0.189059;0.770772
0.427946,-0.139064;0.471095,0.141341;0.459479
-0.032694,-0.632409;0.804448,0.090873;0.264483
0.353942,-0.061009;0.091208,-0.210338;0.460977
-0.031895,-0.350079;0.511377,0.202834;0.678696
-0.017678,-0.598297;-0.241894,1.011127;0.521941
-1.441384,4.458552;-0.111200,0.445342;0.981185
